iter	Logloss
0	0.6737415886
1	0.6552652168
2	0.6386354764
3	0.6228904374
4	0.6087043317
5	0.5957097721
6	0.5840421104
7	0.5726752249
8	0.5620039368
9	0.5520374012
10	0.5434683641
11	0.5355328814
12	0.5280321598
13	0.5213406404
14	0.5150817903
15	0.5090702375
16	0.5036770821
17	0.4988453356
18	0.4941955884
19	0.489643685
20	0.485529782
21	0.4817857869
22	0.4786032518
23	0.4752399317
24	0.472301693
25	0.4698128668
26	0.4675006485
27	0.4650504049
28	0.4629824384
29	0.4609027195
30	0.4593189335
31	0.4574628671
32	0.4557361158
33	0.4542986107
34	0.4527987893
35	0.4512985579
36	0.4499474589
37	0.4485750357
38	0.4475443745
39	0.4464260928
40	0.4454422824
41	0.4445534007
42	0.4436326949
43	0.4426257928
44	0.4418297513
45	0.4411380482
46	0.4404541683
47	0.4397012965
48	0.4391711171
49	0.4384541225
50	0.4379232566
51	0.4374268691
52	0.4369457722
53	0.436481123
54	0.436041921
55	0.4355212943
56	0.4352055454
57	0.434832379
58	0.4344585991
59	0.4341403453
60	0.4338978577
61	0.4334139125
62	0.4331125291
63	0.4327745247
64	0.432410876
65	0.4319889609
66	0.4316997115
67	0.4313694604
68	0.4309884326
69	0.4306459236
70	0.4304020659
71	0.4301733176
72	0.4299512386
73	0.4296351528
74	0.4294106801
75	0.4291051197
76	0.4289227517
77	0.4287412675
78	0.4284354337
79	0.4282106622
80	0.428084898
81	0.4278804938
82	0.4277129968
83	0.4274674988
84	0.4272942924
85	0.4270899041
86	0.4268640264
87	0.4267177137
88	0.4265390587
89	0.4264042219
90	0.4262061056
91	0.4260283184
92	0.4258524164
93	0.4256895447
94	0.4255026658
95	0.4253598849
96	0.4252103996
97	0.4250187969
98	0.4248833275
99	0.4247324022
100	0.4246115685
101	0.4244157346
102	0.4242214266
103	0.4240551313
104	0.4239101601
105	0.4238785903
106	0.4237241046
107	0.4236044884
108	0.4234592724
109	0.4232617728
110	0.4231418419
111	0.423003575
112	0.4227969933
113	0.4226510684
114	0.422433939
115	0.4223543517
116	0.4222182306
117	0.4220848115
118	0.4219907125
119	0.4218469588
120	0.421725413
121	0.4215739568
122	0.4214631081
123	0.4213124561
124	0.4211284542
125	0.4208880107
126	0.4207714876
127	0.4206813717
128	0.4205749607
129	0.4204508781
130	0.4202982648
131	0.4201766682
132	0.4200455093
133	0.4199156348
134	0.419884812
135	0.4197534339
136	0.4196130117
137	0.4194955381
138	0.4193416214
139	0.4192477894
140	0.4191630904
141	0.4190514851
142	0.4189914513
143	0.4189099916
144	0.4188093249
145	0.4187114271
146	0.4185978381
147	0.418504022
148	0.4184348011
149	0.4183624299
150	0.4182489109
151	0.4182053757
152	0.4180319818
153	0.4179126898
154	0.417807703
155	0.4177193228
156	0.4176163769
157	0.4175396633
158	0.4174368922
159	0.4173517323
160	0.4172793738
161	0.4171692308
162	0.4171303495
163	0.4170360374
164	0.4169242859
165	0.4168128777
166	0.4166980235
167	0.416579059
168	0.4164745967
169	0.4164015198
170	0.4162424596
171	0.4161394978
172	0.4160006301
173	0.4158958149
174	0.4158204333
175	0.4157314014
176	0.4155909125
177	0.4154389699
178	0.4153110218
179	0.4152417342
180	0.4151401043
181	0.4150556755
182	0.4149586932
183	0.4148435084
184	0.4147605356
185	0.4146953583
186	0.4145787589
187	0.4145333672
188	0.4144479847
189	0.4143402672
190	0.4142643325
191	0.4141734123
192	0.4141080856
193	0.4140226555
194	0.4139707915
195	0.4138296445
196	0.4137508615
197	0.4136721039
198	0.4135910575
199	0.4134229215
200	0.4133066273
201	0.413231554
202	0.4131106345
203	0.4130332756
204	0.4129495811
205	0.4128596083
206	0.4128290462
207	0.412771581
208	0.4127041149
209	0.4125906436
210	0.4124562772
211	0.4124014823
212	0.4123350906
213	0.4121999518
214	0.4121435833
215	0.4120413113
216	0.4119547653
217	0.4119055176
218	0.4118489329
219	0.4117953746
220	0.4116308943
221	0.4115109444
222	0.4114402421
223	0.4113238525
224	0.4112710253
225	0.4111355464
226	0.4111026796
227	0.4109972445
228	0.4108782196
229	0.4107881514
230	0.4106883272
231	0.4106466834
232	0.4105172539
233	0.4104649035
234	0.4103787072
235	0.4103197543
236	0.4102098687
237	0.4101210308
238	0.4099982389
239	0.4099368382
240	0.4098573081
241	0.409771452
242	0.4097377237
243	0.4096478176
244	0.4095356973
245	0.4093704351
246	0.4092937406
247	0.4092471441
248	0.4091685645
249	0.4091114076
250	0.4090000025
251	0.408887345
252	0.408856039
253	0.4087874158
254	0.408727684
255	0.4086798731
256	0.4086223761
257	0.4085480372
258	0.4084812737
259	0.4083823268
260	0.4082473914
261	0.4081117249
262	0.4080344423
263	0.4078939851
264	0.4077897485
265	0.4076637808
266	0.4075629552
267	0.4075116698
268	0.4074312369
269	0.4073655065
270	0.4073119322
271	0.4071876049
272	0.4071416855
273	0.4070174758
274	0.4068890158
275	0.406816082
276	0.4067354266
277	0.4066714764
278	0.4066243013
279	0.4065354697
280	0.4064570999
281	0.4063254897
282	0.4061730798
283	0.4060725975
284	0.4059579881
285	0.4059024461
286	0.4058101273
287	0.4057496993
288	0.4056950442
289	0.4056101894
290	0.40554485
291	0.4054473972
292	0.4053063265
293	0.4051935991
294	0.4051437092
295	0.4050628249
296	0.4049693998
297	0.4048594856
298	0.4047934659
299	0.4046839269
300	0.4045952129
301	0.4044730345
302	0.4043699328
303	0.4042213249
304	0.4041224766
305	0.4040154902
306	0.403933061
307	0.4038390382
308	0.4037257067
309	0.4036271826
310	0.4034986401
311	0.4033677578
312	0.4032810275
313	0.4032442983
314	0.4031854153
315	0.4030740833
316	0.4029995124
317	0.4029078166
318	0.4028312524
319	0.4027557818
320	0.4026333809
321	0.4025556056
322	0.4024825128
323	0.4023716227
324	0.4022561677
325	0.4021750132
326	0.4020688883
327	0.4019818083
328	0.401884861
329	0.4017854087
330	0.4016965008
331	0.4016252041
332	0.4015725899
333	0.4015139834
334	0.4014286359
335	0.4013291327
336	0.4012769095
337	0.4012052917
338	0.4011633587
339	0.4010503356
340	0.4009330877
341	0.4008175945
342	0.4007392248
343	0.400674607
344	0.4005574449
345	0.4004310385
346	0.4003592237
347	0.4002342192
348	0.4001620674
349	0.4000672595
350	0.39999705
351	0.3998727894
352	0.3997712294
353	0.3996351528
354	0.3995281696
355	0.3994205793
356	0.3993329875
357	0.3992833074
358	0.3991796144
359	0.3990645568
360	0.3989346059
361	0.3988005257
362	0.3987175719
363	0.3986349297
364	0.3985442893
365	0.3983989461
366	0.3983198007
367	0.3982453664
368	0.3981725152
369	0.3980954965
370	0.3980286439
371	0.3979582469
372	0.3978428745
373	0.3977109718
374	0.3976159477
375	0.3975288137
376	0.3974415493
377	0.3973097928
378	0.3972219086
379	0.3971058432
380	0.3970420392
381	0.3969174385
382	0.3968320751
383	0.3967620913
384	0.396697766
385	0.396620547
386	0.3965144507
387	0.3964139907
388	0.3963570881
389	0.3962556362
390	0.3961680953
391	0.3960913531
392	0.3960009416
393	0.3959161758
394	0.395826575
395	0.3957568296
396	0.3956748835
397	0.3955846691
398	0.395451479
399	0.3953875605
400	0.3953042157
401	0.3951637745
